stock name,rsmeArima,ltsmArima,Percent,
n225,750.4045235,87.74070908,-88.30754529,
nasdaq,166.5425263,20.60499488,-87.62778773,
hsi,1180.823935,154.247,-86.93734134,
gspc,60.83098039,19.02820551,-68.71954818,
djimonthly,554.2806134,51.2378519,-90.75597258,
djiweekly,301.0664785,55.4329385,-81.58780786,-83.98933383
medicare,1.165693266,0.602086378,-48.34950192,
housing,0.547328961,0.428333329,-21.74115395,
tradeusdollor,0.681373907,0.209677527,-69.22724442,
foodandbev,0.372961097,0.358934887,-3.760770255,
ms,20.64656644,9.65310887,-53.24593608,
transportation,1.028892656,0.5572299,-45.84178468,-40.36106522
